group_id,name,category,privacy,member_count,creation_date,post_frequency,description,location,related_keywords,discovery_date,school_focus,geographic_scope,target_age_range,outreach_potential,best_contact_methods,admin_responsiveness,group_rules_strictness
fb_group_237152573,academic support Success in Student Activities,Student Activities,Closed,1083,2020-07-24,5.62,A supportive community for students navigating Student Activities challenges and celebrating successes.,Europe,"['campus engagement', 'academic', 'events', 'support', 'recreation', 'university programs', 'advice']",2025-05-11,All Levels,National,20-32,3.6,"['Group Admin Message', 'Post in Group']",Unknown,Unknown
fb_group_380084423,academic support Engineering Group,Engineering,Closed,7618,2020-04-15,11.32,"Supporting students and professionals in Engineering. Share research, ask questions, and find collaborators.",United States,"['collaboration', 'opportunities', 'electrical', 'engineering major', 'advice', 'civil', 'technical']",2025-05-11,All Levels,State/Provincial,17-38,5.5,['Group Admin Message'],High,Unknown
fb_group_904892955,Future Study Abroad Leaders,Study Abroad,Closed,2645,2023-05-22,3.83,A supportive community for students navigating Study Abroad challenges and celebrating successes.,Asia,"['community', 'academic', 'collaboration', 'foreign university', 'support']",2025-05-11,All Levels,National,19-36,3.9,['Post in Group'],High,Moderate
fb_group_1082835694,academic support Success in Social Sciences,Social Sciences,Closed,969,2018-09-18,5.26,"A space for Social Sciences students to connect with peers, ask questions, and share advice on coursework and research.",United States,"['research', 'anthropology', 'advice', 'political science', 'support', 'sociology']",2025-05-11,Community College,State/Provincial,18-34,3.5,['Post in Group'],Low,Strict
fb_group_830249729,Connect: Business thesis writing,Business,Closed,924,2019-08-29,1.52,"Supporting students and professionals in Business. Share research, ask questions, and find collaborators.",Asia,"['resources', 'marketing', 'advice', 'support', 'MBA', 'writing', 'entrepreneurship', 'collaboration']",2025-05-11,Not School Specific,International,19-34,2.6,['Group Admin Message'],Medium,Unknown
fb_group_394882004,Student Activities thesis writing Network,Student Activities,Closed,3522,2023-11-21,4.14,"Connect with peers in Student Activities, organize study sessions, and share campus resources.",Asia,"['collaboration', 'community', 'events', 'university programs', 'thesis', 'resources', 'student life']",2025-05-11,Graduate,Global,22-32,4.1,['Post in Group'],High,Unknown
fb_group_537845345,thesis writing Success in Career Transitions,Career Transitions,Closed,700,2021-08-28,1.09,"Job postings, career advice, and networking opportunities for those in Career Transitions.",United States,"['resources', 'career change', 'opportunities', 'writing', 'changing fields', 'community']",2025-05-11,High School,Regional,15-20,3.2,['Post in Group'],High,Relaxed
fb_group_504902628,Psychology Opportunities for thesis writing,Psychology,Public,5016,2022-10-23,10.99,"This group brings together Psychology students, faculty, and professionals for academic discourse and support.",Asia,"['thesis', 'collaboration', 'behavioral', 'writing', 'clinical']",2025-05-11,Undergraduate,Global,17-38,5.6,"['Group Admin Message', 'Post in Group']",Low,Unknown
fb_group_857362896,Connect: Study Abroad thesis writing,Study Abroad,Closed,5488,2023-12-27,8.4,"Connect with peers in Study Abroad, organize study sessions, and share campus resources.",United States,"['international study', 'discussion', 'support', 'resources', 'thesis', 'advice', 'collaboration', 'opportunities']",2025-05-11,Not School Specific,Regional,20-32,4.0,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_1040600301,Business Learning & Support,Business,Public,10636,2023-06-24,27.91,"Supporting students and professionals in Business. Share research, ask questions, and find collaborators.",Asia,"['discussion', 'support', 'marketing', 'thesis', 'MBA', 'entrepreneurship', 'collaboration']",2025-05-11,Graduate,National,20-32,7.6,['Post in Group'],Low,Moderate
fb_group_883134008,Connect: Internships thesis writing,Internships,Public,31504,2019-02-01,36.61,A community dedicated to helping students transition into professional roles in Internships.,United States,"['thesis', 'resources', 'collaboration', 'discussion', 'writing', 'opportunities', 'community']",2025-05-11,Not School Specific,Global,19-37,7.3,"['Group Admin Message', 'Post in Group', 'Comment on Active Threads']",Medium,Unknown
fb_group_260429310,Future Computer Science Leaders,Computer Science,Closed,21952,2022-10-02,24.35,"Supporting students and professionals in Computer Science. Share research, ask questions, and find collaborators.",Online,"['developer', 'dissertation', 'discussion', 'tech', 'algorithms', 'CS major', 'programming', 'help']",2025-05-11,Not School Specific,International,16-37,6.0,"['Post in Group', 'Member Direct Messages']",Medium,Strict
fb_group_999733566,dissertation help Success in Natural Sciences,Natural Sciences,Closed,6671,2022-09-11,12.12,"Supporting students and professionals in Natural Sciences. Share research, ask questions, and find collaborators.",Europe,"['lab work', 'community', 'research', 'support', 'dissertation', 'scientific']",2025-05-11,Graduate,State/Provincial,24-33,5.3,['Member Direct Messages'],Low,Moderate
fb_group_133292432,Future Career Transitions Leaders,Career Transitions,Closed,5646,2020-05-09,8.1,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",United States,"['pivot', 'resources', 'help', 'reskilling', 'changing fields', 'career change', 'community', 'support']",2025-05-11,Community College,Global,19-34,4.8,"['Group Admin Message', 'Post in Group']",High,Unknown
fb_group_607457939,College Life Learning & Support,College Life,Closed,7264,2022-06-08,11.37,"Connect with peers in College Life, organize study sessions, and share campus resources.",Asia,"['collaboration', 'opportunities', 'university life', 'dorm', 'resources', 'discussion', 'dissertation']",2025-05-11,Not School Specific,International,16-35,4.6,['Post in Group'],High,Unknown
fb_group_973474802,Connect: Networking dissertation help,Networking,Closed,6660,2022-08-07,5.68,"Support group for early-career professionals in Networking. Resume reviews, interview tips, and mentorship.",United States,"['resources', 'community', 'industry events', 'opportunities', 'contacts']",2025-05-11,Undergraduate,International,16-32,4.9,['Group Admin Message'],Medium,Relaxed
fb_group_957533438,Financial Aid Learning & Support,Financial Aid,Public,2694,2020-01-08,2.77,"For students interested in Financial Aid to find roommates, study partners, and campus event information.",Online,"['scholarships', 'tuition assistance', 'community', 'college funding', 'collaboration', 'advice']",2025-05-11,Not School Specific,Global,16-32,3.8,"['Group Admin Message', 'Post in Group', 'Comment on Active Threads']",High,Moderate
fb_group_789838492,research students Success in Mathematics,Mathematics,Closed,575,2023-12-23,6.49,"A space for Mathematics students to connect with peers, ask questions, and share advice on coursework and research.",Global,"['opportunities', 'collaboration', 'quantitative', 'advice', 'students', 'calculus', 'analytical', 'community']",2025-05-11,Undergraduate,National,18-32,3.5,['Group Admin Message'],Unknown,Moderate
fb_group_965748616,Business research students Network,Business,Closed,14715,2023-03-17,48.48,"A community for Business students and scholars to network, share resources, and discuss academic topics.",United States,"['students', 'research', 'resources', 'support', 'discussion', 'collaboration', 'economics']",2025-05-11,Community College,Local,17-35,7.9,['Group Admin Message'],Medium,Strict
fb_group_1005072040,Campus Housing Learning & Support,Campus Housing,Public,2754,2022-05-16,4.25,A supportive community for students navigating Campus Housing challenges and celebrating successes.,Europe,"['advice', 'university housing', 'research', 'community', 'dorms', 'housing options', 'on-campus living']",2025-05-11,Not School Specific,Local,18-38,3.9,['Group Admin Message'],High,Relaxed
fb_group_1023562899,Connect: Career Transitions research students,Career Transitions,Public,3472,2022-06-22,3.97,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Global,"['students', 'collaboration', 'research', 'community', 'changing fields']",2025-05-11,Not School Specific,International,20-36,4.1,['Group Admin Message'],High,Moderate
fb_group_139466986,research students Networking Group,Networking,Closed,7538,2022-10-29,7.74,"Connect with fellow Networking professionals, share job opportunities, and discuss industry trends.",Online,"['connections', 'research', 'opportunities', 'discussion', 'support', 'meetups']",2025-05-11,Community College,Regional,17-35,5.3,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Medium,Unknown
fb_group_678984895,Engineering research students Network,Engineering,Closed,7197,2024-03-18,13.11,"This group brings together Engineering students, faculty, and professionals for academic discourse and support.",Global,"['resources', 'engineering major', 'collaboration', 'discussion', 'students', 'civil', 'research']",2025-05-11,Community College,International,20-35,5.5,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Low,Unknown
fb_group_197705361,research students Community,Career Transitions,Public,323,2021-05-20,1.71,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Online,"['students', 'changing fields', 'reskilling', 'career change', 'transition', 'discussion', 'collaboration']",2025-05-11,Graduate,National,20-28,3.9,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_626139508,Computer Science Opportunities for research students,Computer Science,Closed,16896,2021-09-24,34.2,"A space for Computer Science students to connect with peers, ask questions, and share advice on coursework and research.",Online,"['CS major', 'students', 'advice', 'programming', 'software', 'developer', 'coding', 'research']",2025-05-11,Undergraduate,International,20-33,7.2,['Group Admin Message'],High,Strict
fb_group_1083983711,research students Success in Networking,Networking,Public,7395,2022-05-02,7.45,A community dedicated to helping students transition into professional roles in Networking.,Online,"['community', 'discussion', 'contacts', 'meetups', 'professional network']",2025-05-11,Undergraduate,Regional,16-35,6.0,['Group Admin Message'],Medium,Strict
fb_group_1013827310,Mathematics entry level jobs Network,Mathematics,Public,1035,2020-06-12,1.72,"A space for Mathematics students to connect with peers, ask questions, and share advice on coursework and research.",United States,"['statistics', 'opportunities', 'numerical', 'community', 'resources', 'math major', 'collaboration', 'discussion']",2025-05-11,Not School Specific,Regional,19-37,3.3,['Group Admin Message'],Medium,Moderate
fb_group_259794138,Communications entry level jobs Network,Communications,Closed,6043,2024-04-13,12.34,"Supporting students and professionals in Communications. Share research, ask questions, and find collaborators.",Global,"['journalism', 'digital media', 'entry', 'public relations', 'level']",2025-05-11,Not School Specific,Global,20-36,4.4,"['Group Admin Message', 'Post in Group']",Medium,Moderate
fb_group_318297266,entry level jobs Students & Graduate School Professionals,Graduate School,Closed,4981,2022-02-19,3.18,A supportive community for students navigating Graduate School challenges and celebrating successes.,Online,"['advice', 'community', 'resources', 'level', 'graduate studies']",2025-05-11,Not School Specific,International,18-38,3.7,"['Group Admin Message', 'Post in Group']",Unknown,Unknown
fb_group_434977711,entry level jobs Students & Networking Professionals,Networking,Closed,4474,2020-09-15,6.09,"Job postings, career advice, and networking opportunities for those in Networking.",Europe,"['support', 'level', 'discussion', 'meetups', 'jobs']",2025-05-11,All Levels,Global,16-36,4.4,['Group Admin Message'],High,Strict
fb_group_329809056,entry level jobs Help & Advice,Student Activities,Public,5374,2019-07-18,12.7,"For students interested in Student Activities to find roommates, study partners, and campus event information.",Global,"['events', 'opportunities', 'community', 'campus engagement', 'level', 'recreation', 'student life', 'jobs']",2025-05-11,Not School Specific,State/Provincial,18-36,5.0,"['Group Admin Message', 'Comment on Active Threads']",Unknown,Strict
fb_group_253372541,Professional Development Opportunities for entry level jobs,Professional Development,Closed,6728,2018-09-19,8.9,A community dedicated to helping students transition into professional roles in Professional Development.,Global,"['certification', 'collaboration', 'community', 'opportunities', 'discussion', 'level']",2025-05-11,Not School Specific,Global,20-37,4.4,"['Post in Group', 'Member Direct Messages']",High,Relaxed
fb_group_848359368,entry level jobs Students & Scholarships Professionals,Scholarships,Closed,3618,2018-08-28,5.37,"Connect with peers in Scholarships, organize study sessions, and share campus resources.",Europe,"['support', 'level', 'funding opportunities', 'entry', 'financial awards', 'collaboration', 'community']",2025-05-11,Not School Specific,Local,17-35,3.4,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_559106015,entry level jobs Students & Internships Professionals,Internships,Closed,5884,2021-03-28,11.26,"Job postings, career advice, and networking opportunities for those in Internships.",Online,"['entry', 'intern', 'resources', 'work experience', 'opportunities', 'summer internship']",2025-05-11,Not School Specific,Regional,19-35,4.3,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_798494277,Connect: Career Transitions entry level jobs,Career Transitions,Closed,5903,2021-04-01,5.48,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Online,"['support', 'resources', 'level', 'career change', 'opportunities', 'pivot', 'new industry', 'jobs']",2025-05-11,Graduate,Local,21-32,4.7,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Low,Strict
fb_group_833062373,Networking entry level jobs Network,Networking,Closed,532,2021-07-02,3.98,"Connect with fellow Networking professionals, share job opportunities, and discuss industry trends.",Online,"['entry', 'jobs', 'professional network', 'contacts', 'community', 'discussion', 'opportunities', 'support']",2025-05-11,Not School Specific,State/Provincial,18-35,2.6,['Group Admin Message'],Low,Moderate
fb_group_969176747,Connect: Communications entry level jobs,Communications,Closed,800,2019-07-16,6.56,"A space for Communications students to connect with peers, ask questions, and share advice on coursework and research.",Online,"['discussion', 'speech', 'community', 'digital media', 'jobs', 'support', 'media', 'opportunities']",2025-05-11,Not School Specific,National,17-32,2.8,"['Group Admin Message', 'Member Direct Messages']",Low,Relaxed
fb_group_846254825,Connect: Resume Building entry level jobs,Resume Building,Closed,1866,2020-06-13,1.36,"Connect with fellow Resume Building professionals, share job opportunities, and discuss industry trends.",Online,"['jobs', 'cover letter', 'entry', 'resume tips', 'advice']",2025-05-11,Professional School,Global,18-32,3.5,['Group Admin Message'],Low,Moderate
fb_group_797013292,Education Opportunities for entry level jobs,Education,Closed,3851,2020-11-07,3.32,"A community for Education students and scholars to network, share resources, and discuss academic topics.",United States,"['entry', 'educational studies', 'resources', 'level', 'advice', 'curriculum', 'learning']",2025-05-11,Graduate,International,20-27,4.1,['Group Admin Message'],Unknown,Strict
fb_group_1067042667,Career Transitions Learning & Support,Career Transitions,Closed,1548,2019-01-31,2.19,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Online,"['career change', 'new industry', 'reskilling', 'opportunities', 'collaboration', 'support']",2025-05-11,Undergraduate,Regional,21-28,3.5,['Group Admin Message'],Medium,Relaxed
fb_group_724582943,new graduates Success in Liberal Arts,Liberal Arts,Closed,6225,2018-08-02,10.1,"Supporting students and professionals in Liberal Arts. Share research, ask questions, and find collaborators.",Global,"['opportunities', 'advice', 'humanities', 'graduates', 'discussion']",2025-05-11,Undergraduate,Regional,23-28,5.1,['Post in Group'],Medium,Relaxed
fb_group_811403530,Future Mathematics Leaders,Mathematics,Public,1176,2020-08-26,3.02,"A community for Mathematics students and scholars to network, share resources, and discuss academic topics.",Europe,"['graduates', 'support', 'calculus', 'statistics', 'analytical', 'community']",2025-05-11,Professional School,Local,20-30,4.2,"['Group Admin Message', 'Post in Group', 'Comment on Active Threads']",High,Unknown
fb_group_1045525918,Future Mathematics Leaders,Mathematics,Closed,395,2023-01-19,5.8,"This group brings together Mathematics students, faculty, and professionals for academic discourse and support.",Europe,"['algebra', 'quantitative', 'opportunities', 'graduates', 'numerical']",2025-05-11,Not School Specific,Global,22-30,2.6,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Low,Strict
fb_group_447594130,Liberal Arts new graduates Network,Liberal Arts,Closed,3178,2019-03-21,1.7,"A community for Liberal Arts students and scholars to network, share resources, and discuss academic topics.",Asia,"['support', 'resources', 'writing', 'graduates', 'community', 'arts']",2025-05-11,All Levels,Global,23-28,3.9,['Group Admin Message'],High,Strict
fb_group_171720557,new graduates Success in Business,Business,Closed,10944,2020-05-09,42.13,"A community for Business students and scholars to network, share resources, and discuss academic topics.",Asia,"['collaboration', 'marketing', 'support', 'economics', 'community', 'advice', 'discussion']",2025-05-11,Not School Specific,International,20-33,6.9,['Group Admin Message'],High,Relaxed
fb_group_1025365836,Computer Science new graduates Network,Computer Science,Closed,14708,2022-05-19,27.24,"This group brings together Computer Science students, faculty, and professionals for academic discourse and support.",Europe,"['CS major', 'coding', 'developer', 'algorithms', 'resources', 'community', 'graduates']",2025-05-11,PhD,Regional,22-29,6.9,"['Group Admin Message', 'Post in Group']",High,Relaxed
fb_group_808501055,Social Sciences Learning & Support,Social Sciences,Public,213,2018-11-06,1.3,"A community for Social Sciences students and scholars to network, share resources, and discuss academic topics.",United States,"['internship', 'advice', 'collaboration', 'research', 'support']",2025-05-11,Graduate,International,23-28,3.9,['Comment on Active Threads'],High,Relaxed
fb_group_677836451,internship opportunities Community,Career Transitions,Closed,7113,2019-09-27,5.7,"Connect with fellow Career Transitions professionals, share job opportunities, and discuss industry trends.",Online,"['collaboration', 'community', 'resources', 'discussion', 'changing fields']",2025-05-11,Community College,Global,17-37,5.1,['Member Direct Messages'],High,Moderate
fb_group_1085420864,Future Medicine Leaders,Medicine,Closed,6471,2023-10-06,13.31,"This group brings together Medicine students, faculty, and professionals for academic discourse and support.",Asia,"['community', 'physician', 'doctor', 'healthcare', 'medical school', 'resources', 'advice']",2025-05-11,Undergraduate,Regional,16-36,5.3,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_590716313,internship opportunities Law Group,Law,Closed,1954,2022-09-01,2.4,"Supporting students and professionals in Law. Share research, ask questions, and find collaborators.",Asia,"['resources', 'collaboration', 'attorney', 'internship', 'opportunities', 'advice', 'discussion', 'legal profession']",2025-05-11,Community College,National,19-33,3.6,"['Group Admin Message', 'Post in Group']",Medium,Unknown
fb_group_393245676,internship opportunities Students & Career Transitions Professionals,Career Transitions,Public,5650,2018-12-14,9.41,"Job postings, career advice, and networking opportunities for those in Career Transitions.",United States,"['opportunities', 'new industry', 'support', 'pivot', 'collaboration', 'internship', 'reskilling']",2025-05-11,Not School Specific,International,17-37,4.9,['Group Admin Message'],High,Moderate
fb_group_301471427,student career network Success in Liberal Arts,Liberal Arts,Public,1108,2023-03-21,2.53,"A community for Liberal Arts students and scholars to network, share resources, and discuss academic topics.",Online,"['philosophy', 'student', 'writing', 'history', 'support', 'resources', 'humanities']",2025-05-11,All Levels,International,20-39,4.2,['Group Admin Message'],Low,Moderate
fb_group_967635736,student career network Help & Advice,Networking,Closed,3511,2024-01-09,1.94,"Connect with fellow Networking professionals, share job opportunities, and discuss industry trends.",Asia,"['community', 'opportunities', 'advice', 'discussion', 'support']",2025-05-11,All Levels,State/Provincial,20-39,4.0,['Member Direct Messages'],High,Moderate
fb_group_286216243,student career network Help & Advice,Professional Development,Public,281,2020-04-01,6.4,"Job postings, career advice, and networking opportunities for those in Professional Development.",Europe,"['workshops', 'community', 'opportunities', 'discussion', 'learning']",2025-05-11,Undergraduate,Global,24-39,4.1,['Group Admin Message'],Low,Moderate
fb_group_177116473,student career network Success in Scholarships,Scholarships,Closed,5922,2021-07-23,9.28,"Connect with peers in Scholarships, organize study sessions, and share campus resources.",Asia,"['resources', 'discussion', 'funding opportunities', 'merit scholarships', 'network', 'community', 'collaboration', 'financial awards']",2025-05-11,High School,Regional,14-19,4.9,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_654302408,Future Student Organizations Leaders,Student Organizations,Public,289,2019-02-07,5.38,"For students interested in Student Organizations to find roommates, study partners, and campus event information.",United States,"['student groups', 'societies', 'discussion', 'resources', 'career', 'support', 'community']",2025-05-11,Undergraduate,International,24-38,4.1,"['Group Admin Message', 'Comment on Active Threads', 'Member Direct Messages']",Unknown,Strict
fb_group_272431168,student career network Community,Job Hunting,Closed,2046,2022-11-25,6.19,A community dedicated to helping students transition into professional roles in Job Hunting.,United States,"['job search', 'resources', 'support', 'opportunities', 'job market', 'network', 'student']",2025-05-11,All Levels,International,23-38,3.8,['Group Admin Message'],Low,Strict
fb_group_883205887,Medicine student career network Network,Medicine,Closed,3796,2023-02-13,4.6,"Supporting students and professionals in Medicine. Share research, ask questions, and find collaborators.",Global,"['discussion', 'student', 'physician', 'resources', 'MCAT', 'collaboration']",2025-05-11,PhD,State/Provincial,23-39,4.2,"['Group Admin Message', 'Post in Group']",Medium,Relaxed
fb_group_941038423,Internships Learning & Support,Internships,Closed,15462,2021-06-02,19.54,"Connect with fellow Internships professionals, share job opportunities, and discuss industry trends.",Asia,"['intern', 'opportunities', 'advice', 'collaboration', 'summer internship']",2025-05-11,All Levels,International,20-40,6.5,['Group Admin Message'],Low,Unknown
fb_group_522452795,student career network Community,Scholarships,Closed,5423,2023-11-04,6.28,"For students interested in Scholarships to find roommates, study partners, and campus event information.",Global,"['network', 'collaboration', 'academic scholarships', 'financial awards', 'advice', 'merit scholarships', 'student']",2025-05-11,Undergraduate,International,23-40,4.7,['Group Admin Message'],Medium,Moderate
fb_group_936554956,student career network Success in Law,Law,Closed,3217,2021-03-22,6.88,"A community for Law students and scholars to network, share resources, and discuss academic topics.",Asia,"['collaboration', 'support', 'community', 'legal studies', 'career']",2025-05-11,Not School Specific,Global,21-37,3.4,"['Group Admin Message', 'Post in Group']",Low,Strict
fb_group_372943886,Communications Learning & Support,Communications,Closed,6062,2018-06-28,14.83,"A community for Communications students and scholars to network, share resources, and discuss academic topics.",Asia,"['community', 'opportunities', 'media', 'journalism', 'speech']",2025-05-11,Not School Specific,Global,22-39,4.5,"['Group Admin Message', 'Post in Group']",Low,Moderate
fb_group_293088122,student career network Professional Development Group,Professional Development,Closed,1467,2021-08-21,4.27,"Support group for early-career professionals in Professional Development. Resume reviews, interview tips, and mentorship.",Online,"['resources', 'opportunities', 'learning', 'career', 'student', 'network', 'community']",2025-05-11,Undergraduate,Regional,23-37,3.6,"['Group Admin Message', 'Post in Group']",Low,Strict
fb_group_919376904,Education student career network Network,Education,Closed,5631,2021-12-31,6.52,"Supporting students and professionals in Education. Share research, ask questions, and find collaborators.",Europe,"['opportunities', 'discussion', 'educational studies', 'student', 'learning']",2025-05-11,All Levels,Local,20-37,4.7,"['Group Admin Message', 'Post in Group']",High,Unknown
fb_group_371887153,student career network Students & Medicine Professionals,Medicine,Closed,1268,2022-01-26,5.24,"A community for Medicine students and scholars to network, share resources, and discuss academic topics.",United States,"['healthcare', 'student', 'medical school', 'career', 'MCAT']",2025-05-11,High School,International,13-18,3.6,['Post in Group'],Unknown,Unknown
fb_group_659148420,student career network Success in Study Abroad,Study Abroad,Public,3090,2020-01-22,1.31,"Connect with peers in Study Abroad, organize study sessions, and share campus resources.",Online,"['exchange program', 'resources', 'career', 'discussion', 'student']",2025-05-11,Graduate,Regional,21-31,4.6,['Group Admin Message'],Medium,Strict
fb_group_622721134,Computer Science Learning & Support,Computer Science,Public,19376,2020-09-18,11.1,"Supporting students and professionals in Computer Science. Share research, ask questions, and find collaborators.",United States,"['algorithms', 'tech', 'community', 'campus', 'recruiting', 'collaboration', 'developer', 'coding']",2025-05-11,Undergraduate,State/Provincial,19-37,6.8,['Group Admin Message'],Unknown,Moderate
fb_group_452219242,campus recruiting Help & Advice,Career Transitions,Closed,3993,2021-10-31,7.0,"Job postings, career advice, and networking opportunities for those in Career Transitions.",Asia,"['opportunities', 'transition', 'reskilling', 'recruiting', 'discussion', 'advice']",2025-05-11,Undergraduate,Global,19-38,4.3,['Group Admin Message'],Unknown,Strict
fb_group_1052321647,Connect: Scholarships campus recruiting,Scholarships,Closed,4504,2019-01-31,1.07,"Connect with peers in Scholarships, organize study sessions, and share campus resources.",Global,"['collaboration', 'funding opportunities', 'campus', 'discussion', 'financial awards', 'support']",2025-05-11,Community College,Local,16-35,4.2,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_870210386,Future Networking Leaders,Networking,Public,2328,2023-02-06,6.96,"Support group for early-career professionals in Networking. Resume reviews, interview tips, and mentorship.",Asia,"['contacts', 'connections', 'recruiting', 'advice', 'meetups']",2025-05-11,Graduate,State/Provincial,24-33,4.7,['Group Admin Message'],Low,Relaxed
fb_group_977528309,Connect: Education campus recruiting,Education,Closed,3183,2022-01-03,3.98,"This group brings together Education students, faculty, and professionals for academic discourse and support.",United States,"['childhood education', 'resources', 'collaboration', 'pedagogy', 'teaching']",2025-05-11,All Levels,Global,20-37,4.0,"['Group Admin Message', 'Member Direct Messages']",Medium,Relaxed
fb_group_293085478,campus recruiting Students & Career Transitions Professionals,Career Transitions,Closed,7339,2018-05-17,13.8,"Support group for early-career professionals in Career Transitions. Resume reviews, interview tips, and mentorship.",Europe,"['transition', 'community', 'resources', 'reskilling', 'collaboration', 'new industry', 'support', 'changing fields']",2025-05-11,Not School Specific,Regional,17-33,4.8,"['Group Admin Message', 'Post in Group']",Unknown,Strict
fb_group_126087491,campus recruiting Community,Student Organizations,Closed,2788,2021-12-02,1.41,"Connect with peers in Student Organizations, organize study sessions, and share campus resources.",Europe,"['support', 'advice', 'community', 'student groups', 'discussion']",2025-05-11,Not School Specific,Global,20-32,3.0,"['Group Admin Message', 'Post in Group']",Low,Unknown
fb_group_992767869,campus recruiting Help & Advice,Scholarships,Public,6979,2023-02-22,10.89,"Discuss Scholarships events, student activities, and campus life. Share tips on balancing academics and social life.",United States,"['resources', 'opportunities', 'funding opportunities', 'support', 'financial awards']",2025-05-11,Not School Specific,National,17-37,5.3,['Group Admin Message'],Low,Strict
fb_group_508101757,campus recruiting Community,Education,Closed,294,2020-08-15,5.89,"A space for Education students to connect with peers, ask questions, and share advice on coursework and research.",Global,"['advice', 'discussion', 'learning', 'collaboration', 'campus', 'educational studies', 'curriculum', 'opportunities']",2025-05-11,Not School Specific,Local,17-33,2.6,['Group Admin Message'],High,Unknown
fb_group_1002333492,campus recruiting Community,Internships,Closed,6674,2024-02-21,13.51,"Support group for early-career professionals in Internships. Resume reviews, interview tips, and mentorship.",Europe,"['intern', 'summer internship', 'support', 'recruiting', 'work experience', 'practicum', 'collaboration']",2025-05-11,Not School Specific,Regional,19-38,4.6,"['Group Admin Message', 'Post in Group']",Low,Moderate
fb_group_1013872330,Interview Prep Opportunities for campus recruiting,Interview Prep,Closed,3834,2022-01-05,2.93,"Connect with fellow Interview Prep professionals, share job opportunities, and discuss industry trends.",Online,"['community', 'collaboration', 'preparation', 'campus', 'resources']",2025-05-11,All Levels,Regional,20-34,4.1,['Post in Group'],Low,Relaxed
fb_group_293852085,campus recruiting Students & Law Professionals,Law,Closed,1897,2021-07-10,2.97,"This group brings together Law students, faculty, and professionals for academic discourse and support.",United States,"['collaboration', 'campus', 'community', 'attorney', 'advice', 'paralegal', 'opportunities', 'resources']",2025-05-11,PhD,Local,19-38,3.6,['Group Admin Message'],Medium,Strict
fb_group_150407600,campus recruiting Natural Sciences Group,Natural Sciences,Public,3976,2018-11-18,5.43,"A space for Natural Sciences students to connect with peers, ask questions, and share advice on coursework and research.",Asia,"['support', 'campus', 'scientific', 'physics', 'lab work', 'opportunities', 'collaboration']",2025-05-11,Undergraduate,Local,18-35,5.0,"['Group Admin Message', 'Post in Group']",Unknown,Moderate
fb_group_1017029441,young professionals Help & Advice,Law,Public,594,2022-08-11,2.73,"This group brings together Law students, faculty, and professionals for academic discourse and support.",Online,"['JD', 'advice', 'legal studies', 'discussion', 'law school']",2025-05-11,Graduate,Local,22-33,4.0,['Group Admin Message'],Medium,Moderate
fb_group_155461927,Psychology Learning & Support,Psychology,Public,5270,2018-11-27,11.65,"Supporting students and professionals in Psychology. Share research, ask questions, and find collaborators.",Online,"['behavioral', 'collaboration', 'mental health', 'advice', 'psychological research']",2025-05-11,Not School Specific,State/Provincial,21-37,4.9,"['Group Admin Message', 'Post in Group']",Medium,Strict
fb_group_716937830,Education Opportunities for young professionals,Education,Closed,4107,2018-07-07,2.7,"A space for Education students to connect with peers, ask questions, and share advice on coursework and research.",Europe,"['childhood education', 'advice', 'educational studies', 'support', 'opportunities', 'young', 'resources', 'discussion']",2025-05-11,All Levels,Local,20-39,4.2,"['Group Admin Message', 'Post in Group']",Medium,Relaxed
fb_group_693213346,Connect: Internships young professionals,Internships,Closed,17004,2020-03-25,31.46,A community dedicated to helping students transition into professional roles in Internships.,Asia,"['advice', 'intern', 'resources', 'work experience', 'support', 'community', 'collaboration']",2025-05-11,PhD,Regional,20-38,7.1,['Group Admin Message'],High,Unknown
fb_group_1043188380,young professionals Students & Resume Building Professionals,Resume Building,Public,3198,2020-08-08,1.85,"Support group for early-career professionals in Resume Building. Resume reviews, interview tips, and mentorship.",Asia,"['resources', 'CV', 'collaboration', 'community', 'young', 'opportunities', 'support']",2025-05-11,PhD,Local,21-41,4.6,['Group Admin Message'],High,Strict
